red,yellow,green
0.0,10.0,20.0
0.0,10.0,24.0
0.0,10.0,22.0
0.0,10.0,23.0
0.0,10.0,24.0
0.0,10.0,24.0
0.0,10.0,24.0
0.0,11.0,24.0
0.0,11.0,23.0
0.0,10.0,22.0
0.0,11.0,22.0
0.0,10.0,26.0
0.0,10.0,27.0
0.0,9.0,23.0
0.0,9.0,23.0
0.0,11.0,19.0
0.0,12.0,21.0
0.0,12.0,23.0
0.0,12.0,23.0
0.0,9.0,21.0
0.0,9.0,20.0
0.0,9.0,20.0
0.0,12.0,21.0
0.0,7.0,24.0
0.0,7.0,24.0
0.0,9.0,22.0
0.0,13.0,21.0
0.0,13.0,20.0
0.0,13.0,21.0
0.0,16.0,20.0
0.0,15.0,20.0
0.0,13.0,22.0
0.0,11.0,20.0
0.0,12.0,20.0
0.0,11.0,24.0
0.0,11.0,22.0
0.0,11.0,22.0
0.0,8.0,22.0
0.0,10.0,21.0
0.0,7.0,23.0
0.0,7.0,24.0
0.0,9.0,23.0
0.0,8.0,22.0
0.0,7.0,23.0
0.0,9.0,23.0
0.0,8.0,23.0
0.0,11.0,24.0
0.0,9.0,23.0
0.0,9.0,23.0
0.0,9.0,24.0
0.0,10.0,24.0
0.0,17.0,19.0
0.0,9.0,26.0
0.0,12.0,26.0
0.0,9.0,26.0
0.0,10.0,28.0
0.0,13.0,25.0
0.0,13.0,25.0
0.0,11.0,23.0
0.0,11.0,22.0
0.0,12.0,21.0
0.0,12.0,22.0
0.0,8.0,22.0
0.0,10.0,22.0
0.0,10.0,23.0
0.0,10.0,23.0
0.0,14.0,24.0
0.0,9.0,25.0
0.0,14.0,26.0
0.0,14.0,24.0
0.0,13.0,28.0
0.0,17.0,26.0
0.0,15.0,25.0
0.0,13.0,25.0
0.0,10.0,26.0
0.0,12.0,24.0
0.0,12.0,25.0
0.0,12.0,25.0
0.0,13.0,24.0
0.0,9.0,26.0
0.0,9.0,27.0
0.0,12.0,26.0
0.0,18.0,22.0
0.0,18.0,21.0
0.0,16.0,24.0
0.0,13.0,25.0
0.0,12.0,25.0
0.0,7.0,28.0
0.0,9.0,24.0
0.0,9.0,26.0
0.0,10.0,27.0
0.0,8.0,28.0
0.0,14.0,24.0
0.0,14.0,25.0
0.0,12.0,26.0
0.0,12.0,26.0
0.0,11.0,27.0
0.0,11.0,27.0
0.0,9.0,28.0
0.0,11.0,26.0
0.0,12.0,24.0
0.0,13.0,24.0
0.0,13.0,24.0
0.0,13.0,25.0
0.0,12.0,26.0
0.0,12.0,26.0
0.0,13.0,24.0
0.0,12.0,25.0
0.0,12.0,24.0
